callSign,aircraft.reg,airline.iata,airline.name,departure.airport.iata,arrival.airport.iata,departure.scheduledTime.utc,arrival.scheduledTime.utc,departure.gate,arrival.gate,ARR_DELAY,PRIOR_LEG_DELAY,PREDICTED_DELAY,downstream_count,DELAY_BETA,DELAY_BETA_NORM
ACA990,C-GMIU,AC,Air Canada,MEX,,2025-12-19 19:30:00+00:00,2025-12-20 00:10:00+00:00,,E81,1.0,0.0,11.093432,0,11.093432,0.4878008841001652
ACA142,C-GMYU,OS,Austrian,YYC,,2025-12-19 18:40:00+00:00,2025-12-19 22:38:00+00:00,A24,D34,17.0,0.0,22.170927,3,88.683708,3.899603942916934
ACA142,C-GMYU,TK,Turkish,YYC,,2025-12-19 18:40:00+00:00,2025-12-19 22:38:00+00:00,A24,D34,17.0,17.0,17.610703,2,52.832109,2.3231358410162244
ACA142,C-GMYU,LH,Lufthansa,YYC,,2025-12-19 18:40:00+00:00,2025-12-19 22:38:00+00:00,A24,D34,17.0,17.0,16.86734,1,33.73468,1.4833828457087184
ACA142,C-GMYU,AC,Air Canada,YYC,,2025-12-19 18:40:00+00:00,2025-12-19 22:38:00+00:00,A24,D34,17.0,17.0,17.614513,0,17.614513,0.7745461471611177
ACA455,C-GMZN,OS,Austrian,YOW,,2025-12-19 19:05:00+00:00,2025-12-19 20:25:00+00:00,18,D33,79.0,0.0,72.68021,3,290.72084,12.783589675254932
ACA455,C-GMZN,UA,United,YOW,,2025-12-19 19:05:00+00:00,2025-12-19 20:25:00+00:00,18,D33,79.0,79.0,79.0791,2,237.2373,10.431809081403854
ACA455,C-GMZN,AC,Air Canada,YOW,,2025-12-19 19:05:00+00:00,2025-12-19 20:25:00+00:00,18,D33,79.0,79.0,78.43882,1,156.87764,6.898230546466364
ACA455,C-GMZN,LH,Lufthansa,YOW,,2025-12-19 19:05:00+00:00,2025-12-19 20:25:00+00:00,18,D33,79.0,79.0,79.2599,0,79.2599,3.4852198394230642
ACA1202,C-GNAM,AC,Air Canada,,MIA,2025-12-19 21:55:00+00:00,2025-12-20 01:21:00+00:00,F61,,0.0,0.0,12.233218,0,12.233218,0.5379196046624756
ACA506,C-GNBN,UA,United,ORD,,2025-12-19 20:00:00+00:00,2025-12-19 21:39:00+00:00,,F36,26.0,26.0,27.47431,1,54.94862,2.4162031566141136
ACA506,C-GNBN,AC,Air Canada,ORD,,2025-12-19 20:00:00+00:00,2025-12-19 21:39:00+00:00,,F36,26.0,0.0,28.193554,0,28.193554,1.2397282073866545
WJA2731,C-GNDG,WS,WestJet,HOG,,,2025-12-19 22:09:00+00:00,,B11,18.0,0.0,0.0,0,0.0,0.0
ACA1291,C-GNGV,AC,Air Canada,RSW,,2025-12-19 18:04:00+00:00,2025-12-19 20:25:00+00:00,,F55,41.0,41.0,42.86203,3,171.44812,7.538924339493063
ACA1291,C-GNGV,LH,Lufthansa,RSW,,2025-12-19 18:04:00+00:00,2025-12-19 20:25:00+00:00,,F55,41.0,0.0,41.94807,2,125.84421,5.53362718560738
ACA1294,C-GNGV,AC,Air Canada,,RSW,2025-12-19 21:25:00+00:00,2025-12-20 00:42:00+00:00,F55,,0.0,41.0,6.9791756,1,13.9583512,0.6137772382740166
ACA510,C-GNGV,AC,Air Canada,ORD,,2025-12-20 02:30:00+00:00,2025-12-20 04:09:00+00:00,,F32,0.0,0.0,165.37604,0,165.37604,7.271922568325499
WJA2513,C-GOCD,WS,WestJet,BGI,,2025-12-19 19:50:00+00:00,2025-12-20 02:00:00+00:00,,B23,0.0,0.0,3.6404407,0,3.6404407,0.1600776199803834
,C-GOFV,LH,Lufthansa,,FRA,2025-12-19 21:40:00+00:00,2025-12-20 05:40:00+00:00,E77,,0.0,0.0,0.0,7,0.0,0.0
,C-GOFV,UA,United,,FRA,2025-12-19 21:40:00+00:00,2025-12-20 05:40:00+00:00,E77,,0.0,0.0,1.2432352,6,8.702646399999999,0.3826731536219917
,C-GOFV,MS,EgyptAir,,FRA,2025-12-19 21:40:00+00:00,2025-12-20 05:40:00+00:00,E77,,0.0,0.0,0.0,5,0.0,0.0
