number,callSign,status,codeshareStatus,isCargo,direction,departure.scheduledTime.utc,departure.scheduledTime.local,departure.revisedTime.utc,departure.revisedTime.local,departure.terminal,departure.gate,departure.quality,arrival.airport.icao,arrival.airport.iata,arrival.airport.name,arrival.airport.timeZone,arrival.scheduledTime.utc,arrival.scheduledTime.local,arrival.revisedTime.utc,arrival.revisedTime.local,arrival.quality,aircraft.reg,aircraft.modeS,aircraft.model,airline.name,airline.iata,airline.icao,arrival.terminal,arrival.baggageBelt,arrival.gate,arrival.runwayTime.utc,arrival.runwayTime.local,departure.runwayTime.utc,departure.runwayTime.local,departure.airport.icao,departure.airport.iata,departure.airport.name,departure.airport.timeZone,departure.checkInDesk
AC 1299,ACA1299,Departed,IsOperator,False,departures,2025-12-19 20:05Z,2025-12-19 15:05-05:00,2025-12-19 21:12Z,2025-12-19 16:12-05:00,1,F63,"['Basic', 'Live']",KMSY,MSY,New Orleans,America/Chicago,2025-12-19 23:17Z,2025-12-19 17:17-06:00,2025-12-20 00:14Z,2025-12-19 18:14-06:00,"['Basic', 'Live']",C-GUPK,C07B09,Airbus A220-300,Air Canada,AC,ACA,,,,,,,,,,,,
UA 8084,ACA1299,Departed,IsCodeshared,False,departures,2025-12-19 20:05Z,2025-12-19 15:05-05:00,2025-12-19 21:12Z,2025-12-19 16:12-05:00,1,F63,"['Basic', 'Live']",KMSY,MSY,New Orleans,America/Chicago,2025-12-19 23:17Z,2025-12-19 17:17-06:00,2025-12-20 00:14Z,2025-12-19 18:14-06:00,"['Basic', 'Live']",C-GUPK,C07B09,Airbus A220-300,United,UA,UAL,,,,,,,,,,,,
WS 2568,WJA2568,Departed,IsOperator,False,departures,2025-12-19 20:00Z,2025-12-19 15:00-05:00,2025-12-19 21:13Z,2025-12-19 16:13-05:00,3,B25,"['Basic', 'Live']",MKJS,MBJ,Montego Bay,America/Jamaica,2025-12-20 00:23Z,2025-12-19 19:23-05:00,2025-12-20 01:40Z,2025-12-19 20:40-05:00,['Basic'],C-GWBX,C07EF2,Boeing 737-700,WestJet,WS,WJA,,,,,,,,,,,,
KL 9576,WJA2568,Departed,IsCodeshared,False,departures,2025-12-19 20:00Z,2025-12-19 15:00-05:00,2025-12-19 21:13Z,2025-12-19 16:13-05:00,3,B25,"['Basic', 'Live']",MKJS,MBJ,Montego Bay,America/Jamaica,2025-12-20 00:23Z,2025-12-19 19:23-05:00,2025-12-20 01:40Z,2025-12-19 20:40-05:00,['Basic'],C-GWBX,C07EF2,Boeing 737-700,KLM,KL,KLM,,,,,,,,,,,,
AC 1542,ACA1542,Departed,IsOperator,False,departures,2025-12-19 19:30Z,2025-12-19 14:30-05:00,2025-12-19 21:15Z,2025-12-19 16:15-05:00,1,D20,"['Basic', 'Live']",CYYG,YYG,Charlottetown,America/Halifax,2025-12-19 21:40Z,2025-12-19 17:40-04:00,,,['Basic'],C-GBHZ,C0481C,Airbus A319,Air Canada,AC,ACA,,,,,,,,,,,,
UA 8352,ACA1542,Departed,IsCodeshared,False,departures,2025-12-19 19:30Z,2025-12-19 14:30-05:00,2025-12-19 21:15Z,2025-12-19 16:15-05:00,1,D20,"['Basic', 'Live']",CYYG,YYG,Charlottetown,America/Halifax,2025-12-19 21:40Z,2025-12-19 17:40-04:00,,,['Basic'],C-GBIM,C04829,Airbus A319,United,UA,UAL,,,,,,,,,,,,
WS 2700,WJA2700,Departed,IsOperator,False,departures,2025-12-19 17:30Z,2025-12-19 12:30-05:00,2025-12-19 21:17Z,2025-12-19 16:17-05:00,3,B39,"['Basic', 'Live']",MDPC,PUJ,Punta Cana,America/Santo_Domingo,,,,,[],C-FLSF,C01EE6,Boeing 737-800,WestJet,WS,WJA,,,,,,,,,,,,
WS 2724,WJA2724,Departed,IsOperator,False,departures,2025-12-19 20:30Z,2025-12-19 15:30-05:00,2025-12-19 21:17Z,2025-12-19 16:17-05:00,3,B28,"['Basic', 'Live']",MUCC,CCC,Cayo Coco,America/Havana,,,,,[],C-FMXA,C02207,Boeing 737 MAX 8,WestJet,WS,WJA,,,,,,,,,,,,
WS 2578,WJA2578,Departed,IsOperator,False,departures,2025-12-19 21:00Z,2025-12-19 16:00-05:00,2025-12-19 21:17Z,2025-12-19 16:17-05:00,3,B41,"['Basic', 'Live']",MUVR,VRA,Varadero,America/Havana,2025-12-20 00:44Z,2025-12-19 19:44-05:00,2025-12-20 00:50Z,2025-12-19 19:50-05:00,['Basic'],C-FWJS,C03B15,Boeing 737-800,WestJet,WS,WJA,,,,,,,,,,,,
AC 8923,ACA8923,Departed,IsOperator,False,departures,2025-12-19 21:00Z,2025-12-19 16:00-05:00,2025-12-19 21:17Z,2025-12-19 16:17-05:00,1,F95,"['Basic', 'Live']",KPIT,PIT,Pittsburgh,America/New_York,2025-12-19 22:14Z,2025-12-19 17:14-05:00,2025-12-19 22:21Z,2025-12-19 17:21-05:00,"['Basic', 'Live']",C-FUJA,C035BB,Embraer 175,Air Canada,AC,ACA,,,,2025-12-19 22:21Z,2025-12-19 17:21-05:00,,,,,,,
